fips,name,lat,lon,land_sqmi
17001,Adams,39.98605,-91.19496,855.2
17003,Alexander,37.18366,-89.34952,235.4
17005,Bond,38.88592,-89.43659,380.3
17007,Boone,42.31898,-88.82430,280.7
17009,Brown,39.96207,-90.75031,305.7
17011,Bureau,41.40130,-89.52838,869.1
17013,Calhoun,39.16426,-90.66630,253.8
17015,Carroll,42.07090,-89.92419,445.4
17017,Cass,39.96920,-90.24570,375.8
17019,Champaign,40.13898,-88.19697,996.1
17021,Christian,39.54552,-89.27959,709.5
17023,Clark,39.33233,-87.79168,501.4
17025,Clay,38.74682,-88.48233,468.4
17027,Clinton,38.60630,-89.42623,473.9
17029,Coles,39.51368,-88.22078,508.3
17031,Cook,41.89429,-87.64545,944.9
17033,Crawford,39.00279,-87.76062,443.6
17035,Cumberland,39.27312,-88.24062,345.9
17037,DeKalb,41.89461,-88.76899,631.3
17039,De Witt,40.18150,-88.90185,397.6
17041,Douglas,39.76608,-88.22287,416.6
17043,DuPage,41.85206,-88.08604,327.8
17045,Edgar,39.67904,-87.74711,623.3
17047,Edwards,38.41710,-88.04794,222.4
17049,Effingham,39.04794,-88.59285,478.8
17051,Fayette,39.00113,-89.01792,716.4
17053,Ford,40.59654,-88.22459,485.6
17055,Franklin,37.99185,-88.92632,408.9
17057,Fulton,40.46524,-90.20227,865.7
17059,Gallatin,37.76868,-88.22796,322.9
17061,Greene,39.35544,-90.38768,543.1
17063,Grundy,41.29241,-88.40105,418.1
17065,Hamilton,38.08523,-88.53901,434.6
17067,Hancock,40.40132,-91.16880,793.7
17069,Hardin,37.51785,-88.26615,177.4
17071,Henderson,40.81447,-90.94125,378.8
17073,Henry,41.35002,-90.13084,823.1
17075,Iroquois,40.74887,-87.83360,1117.4
17077,Jackson,37.78610,-89.38121,583.6
17079,Jasper,39.00489,-88.15072,494.6
17081,Jefferson,38.30078,-88.92421,571.2
17083,Jersey,39.08020,-90.36138,369.6
17085,Jo Daviess,42.36239,-90.21147,600.9
17087,Johnson,37.46071,-88.88213,343.7
17089,Kane,41.93959,-88.42804,519.4
17091,Kankakee,41.13951,-87.86112,676.5
17093,Kendall,41.58814,-88.43063,320.2
17095,Knox,40.93095,-90.21379,716.4
17097,Lake,42.18597,-87.80594,443.6
17099,LaSalle,41.34334,-88.88593,1135.1
17101,Lawrence,38.71895,-87.73022,372.2
17103,Lee,41.74745,-89.29936,724.8
17105,Livingston,40.89438,-88.55285,1043.6
17107,Logan,40.12928,-89.36531,618.1
17109,McDonough,40.45581,-90.67895,589.3
17111,McHenry,42.32430,-88.45225,603.4
17113,McLean,40.49456,-88.84454,1183.2
17115,Macon,39.86024,-88.96153,580.5
17117,Macoupin,39.26591,-89.92633,863.0
17119,Madison,38.82712,-89.90023,715.5
17121,Marion,38.64824,-88.92036,572.5
17123,Marshall,41.03112,-89.34237,386.8
17125,Mason,40.23699,-89.91357,539.4
17127,Massac,37.21612,-88.70566,237.2
17129,Menard,40.02257,-89.79413,314.4
17131,Mercer,41.20560,-90.74177,561.2
17133,Monroe,38.27798,-90.17908,385.3
17135,Montgomery,39.22807,-89.47814,703.8
17137,Morgan,39.71766,-90.20499,569.0
17139,Moultrie,39.63690,-88.62573,336.0
17141,Ogle,42.04188,-89.32018,758.7
17143,Peoria,40.78597,-89.76699,618.7
17145,Perry,38.08438,-89.36853,441.9
17147,Piatt,40.00903,-88.59235,439.2
17149,Pike,39.62511,-90.88903,831.4
17151,Pope,37.41717,-88.54237,368.9
17153,Pulaski,37.21561,-89.12775,199.3
17155,Putnam,41.19896,-89.29835,160.1
17157,Randolph,38.05651,-89.82121,575.4
17159,Richland,38.71219,-88.08545,360.0
17161,Rock Island,41.46842,-90.57212,427.5
17163,St. Clair,38.47020,-89.92855,657.7
17165,Saline,37.75151,-88.54502,380.0
17167,Sangamon,39.75689,-89.66244,868.2
17169,Schuyler,40.15691,-90.61346,437.3
17171,Scott,39.63700,-90.47777,250.8
17173,Shelby,39.38492,-88.79887,758.5
17175,Stark,41.09691,-89.79741,288.1
17177,Stephenson,42.34973,-89.66599,564.2
17179,Tazewell,40.50807,-89.51626,646.5
17181,Union,37.48565,-89.24464,413.4
17183,Vermilion,40.18675,-87.72678,898.3
17185,Wabash,38.44582,-87.83917,223.3
17187,Warren,40.85044,-90.62022,542.4
17189,Washington,38.35314,-89.41719,562.6
17191,Wayne,38.43186,-88.43243,713.8
17193,White,38.08733,-88.17862,495.0
17195,Whiteside,41.75067,-89.91101,684.1
17197,Will,41.44847,-87.97846,835.9
17199,Williamson,37.73035,-88.93002,420.2
17201,Winnebago,42.33740,-89.16120,513.0
17203,Woodford,40.78979,-89.21059,527.6
