zip5,lat,lon,county_fips
60002,42.46714,-88.09434,17097
60004,42.11278,-87.97954,17031
60005,42.06447,-87.98669,17031
60007,42.02398,-87.99978,17031
60008,42.07041,-88.02225,17031
60010,42.14650,-88.16465,17031
60012,42.27262,-88.31157,17111
60013,42.22351,-88.23590,17111
60014,42.23028,-88.32965,17111
60015,42.17368,-87.87836,17097
60016,42.05272,-87.89206,17031
60018,41.97887,-87.89434,17031
60020,42.39486,-88.17413,17097
60021,42.19476,-88.21718,17111
60022,42.13614,-87.76047,17031
60025,42.07463,-87.81158,17031
60026,42.09220,-87.83791,17031
60029,42.05855,-87.78494,17031
60030,42.33564,-88.04678,17097
60031,42.37319,-87.93966,17097
60033,42.42343,-88.61047,17111
60034,42.45866,-88.42664,17111
60035,42.18597,-87.80594,17097
60040,42.20652,-87.81282,17097
60041,42.36958,-88.15350,17097
60042,42.27833,-88.19549,17097
60043,42.08882,-87.71450,17031
60044,42.28812,-87.86008,17097
60045,42.23600,-87.86478,17097
60046,42.41596,-88.06535,17097
60047,42.20156,-88.04630,17097
60048,42.29261,-87.94532,17097
60050,42.32961,-88.29324,17111
60051,42.35026,-88.22105,17111
60053,42.04224,-87.78893,17031
60056,42.06538,-87.93471,17031
60060,42.27014,-88.03932,17097
60061,42.23285,-87.95893,17097
60062,42.12628,-87.84509,17031
60064,42.32406,-87.86157,17097
60067,42.10813,-88.06433,17031
60068,42.01359,-87.84466,17031
60069,42.19615,-87.92346,17097
60070,42.10366,-87.92897,17031
60071,42.46845,-88.31581,17111
60072,42.40646,-88.30635,17111
60073,42.35446,-88.10242,17097
60074,42.13146,-88.02633,17031
60075,42.49258,-87.90866,17097
60076,42.03413,-87.72944,17031
60077,42.03615,-87.75633,17031
60081,42.44909,-88.22670,17111
60083,42.43684,-87.94995,17097
60084,42.26900,-88.13909,17097
60085,42.35493,-87.86076,17097
60087,42.40384,-87.85359,17097
60088,42.30963,-87.84406,17097
60089,42.16723,-87.96406,17097
60090,42.12588,-87.91195,17031
60091,42.07779,-87.72057,17031
60093,42.10407,-87.75393,17031
60096,42.48061,-87.82956,17097
60097,42.39697,-88.37244,17111
60098,42.32464,-88.45556,17111
60099,42.45999,-87.86502,17097
60101,41.93212,-88.01078,17043
60102,42.16313,-88.31079,17111
60103,41.97655,-88.20569,17043
60104,41.88256,-87.87644,17031
60106,41.96437,-87.94413,17043
60107,42.02059,-88.17777,17031
60108,41.95030,-88.09550,17043
60109,42.05449,-88.54091,17089
60110,42.11343,-88.29225,17089
60111,42.00986,-88.83554,17037
60112,41.92373,-88.69022,17037
60113,41.93131,-88.96413,17141
60115,41.90126,-88.76155,17037
60118,42.10626,-88.30438,17089
60119,41.85153,-88.47645,17089
60120,42.03257,-88.24044,17031
60123,42.04064,-88.31130,17089
60124,42.02017,-88.40069,17089
60126,41.89684,-87.94124,17043
60129,42.00816,-88.97500,17141
60130,41.86703,-87.81793,17031
60131,41.93778,-87.88303,17031
60133,41.97784,-88.14320,17043
60134,41.87834,-88.34207,17089
60135,42.11250,-88.67082,17037
60136,42.10519,-88.38042,17089
60137,41.86521,-88.06278,17043
60139,41.91888,-88.07810,17043
60140,42.07905,-88.51310,17089
60141,41.85834,-87.83791,17031
60142,42.17392,-88.44466,17111
60143,41.97397,-88.02108,17043
60144,41.83508,-88.51986,17089
60145,42.08457,-88.77382,17037
60146,42.09998,-88.87406,17037
60148,41.87626,-88.01875,17043
60150,41.91440,-88.89578,17037
60151,41.91801,-88.57711,17089
60152,42.23936,-88.62730,17111
60153,41.87982,-87.84387,17031
60154,41.84923,-87.88985,17031
60155,41.85778,-87.85632,17031
60156,42.20306,-88.32047,17111
60157,41.97530,-88.05621,17043
60160,41.90349,-87.86177,17031
60162,41.86755,-87.90195,17031
60163,41.88793,-87.90947,17031
60164,41.91669,-87.90118,17031
60165,41.90323,-87.88073,17031
60169,42.05087,-88.11661,17031
60171,41.92506,-87.83833,17031
60172,41.98025,-88.08892,17043
60173,42.05156,-88.05552,17031
60174,41.93061,-88.29868,17089
60175,41.94819,-88.38870,17089
60176,41.95832,-87.86965,17031
60177,41.98848,-88.31017,17089
60178,42.00816,-88.66073,17037
60180,42.22338,-88.52021,17111
60181,41.87690,-87.97633,17043
60183,41.94023,-88.40914,17089
60184,41.95150,-88.25317,17043
60185,41.89311,-88.21500,17043
60187,41.87272,-88.11244,17043
60188,41.91574,-88.12943,17043
60189,41.84065,-88.12206,17043
60190,41.87362,-88.15624,17043
60191,41.96484,-87.98111,17043
60192,42.06327,-88.20366,17031
60193,42.00937,-88.09673,17031
60194,42.03342,-88.11356,17031
60195,42.06537,-88.08659,17031
60201,42.05474,-87.69238,17031
60202,42.02932,-87.68539,17031
60203,42.04904,-87.71746,17031
60208,42.05355,-87.67026,17031
60301,41.88865,-87.79654,17031
60302,41.89477,-87.78982,17031
60304,41.87247,-87.78933,17031
60305,41.89487,-87.81906,17031
60401,41.34714,-87.61413,17197
60402,41.83288,-87.79006,17031
60403,41.56819,-88.11873,17197
60404,41.51345,-88.22415,17197
60406,41.65494,-87.68195,17031
60407,41.23491,-88.26130,17063
60408,41.26603,-88.21854,17197
60409,41.61364,-87.55212,17031
60410,41.42838,-88.21320,17197
60411,41.50731,-87.58970,17031
60415,41.70344,-87.77954,17031
60416,41.29391,-88.28310,17063
60417,41.42759,-87.58615,17197
60418,41.64560,-87.74008,17031
60419,41.62727,-87.59839,17031
60420,41.08765,-88.42089,17105
60421,41.41421,-88.08346,17197
60422,41.53861,-87.68440,17031
60423,41.47446,-87.84115,17197
60424,41.16415,-88.32772,17063
60425,41.54343,-87.61075,17031
60426,41.61025,-87.65304,17031
60428,41.59981,-87.69062,17031
60429,41.57403,-87.68371,17031
60430,41.55811,-87.66281,17031
60431,41.50999,-88.19036,17197
60432,41.54225,-88.03385,17197
60433,41.49660,-88.04234,17197
60435,41.54864,-88.12850,17197
60436,41.48967,-88.12381,17197
60437,41.15690,-88.55608,17063
60438,41.56624,-87.55020,17031
60439,41.67661,-87.97709,17031
60440,41.70060,-88.07501,17197
60441,41.59305,-88.05157,17197
60442,41.39184,-87.96062,17197
60443,41.50289,-87.74957,17031
60444,41.24312,-88.40273,17063
60445,41.62833,-87.73537,17031
60446,41.63326,-88.09931,17197
60447,41.48724,-88.32217,17093
60448,41.53778,-87.89256,17197
60449,41.41764,-87.77859,17197
60450,41.37002,-88.43426,17063
60451,41.50816,-87.96098,17197
60452,41.60898,-87.75416,17031
60453,41.71412,-87.75277,17031
60455,41.74098,-87.80677,17031
60456,41.73125,-87.73113,17031
60457,41.72379,-87.82962,17031
60458,41.75340,-87.82694,17031
60459,41.74439,-87.76860,17031
60460,40.99857,-88.53660,17105
60461,41.52140,-87.68688,17031
60462,41.62685,-87.84061,17031
60463,41.66245,-87.78997,17031
60464,41.66903,-87.86430,17031
60465,41.70068,-87.82530,17031
60466,41.47916,-87.68460,17031
60467,41.59774,-87.88650,17031
60468,41.33528,-87.81029,17197
60469,41.62870,-87.68631,17031
60470,41.16589,-88.63872,17099
60471,41.47936,-87.72921,17031
60472,41.64308,-87.70808,17031
60473,41.59735,-87.60133,17031
60474,41.18557,-88.27523,17063
60475,41.47198,-87.62825,17031
60476,41.56948,-87.60171,17031
60477,41.57361,-87.78671,17031
60478,41.55418,-87.73552,17031
60479,41.23238,-88.52640,17063
60480,41.72031,-87.88134,17031
60481,41.28553,-88.11056,17197
60482,41.68821,-87.79258,17031
60484,41.44302,-87.71048,17197
60487,41.56384,-87.83035,17031
60490,41.67620,-88.14059,17197
60491,41.60270,-87.96260,17197
60501,41.77925,-87.82338,17031
60502,41.78752,-88.26002,17043
60503,41.70773,-88.25768,17197
60504,41.74544,-88.24121,17043
60505,41.76546,-88.29614,17089
60506,41.75888,-88.37186,17089
60510,41.84304,-88.31105,17089
60511,41.75899,-88.55199,17089
60512,41.70137,-88.43989,17093
60513,41.82506,-87.84755,17031
60514,41.79576,-87.96154,17043
60515,41.81107,-88.02452,17043
60516,41.76130,-88.01339,17043
60517,41.73862,-88.04252,17043
60518,41.59884,-88.91974,17099
60519,41.77748,-88.24255,17043
60520,41.78727,-88.66755,17037
60521,41.80068,-87.92817,17043
60523,41.83640,-87.95317,17043
60525,41.78355,-87.86599,17031
60526,41.83140,-87.88380,17031
60527,41.74307,-87.92921,17043
60530,41.79708,-88.95238,17103
60531,41.61921,-88.78750,17099
60532,41.78944,-88.08398,17043
60534,41.81239,-87.82004,17031
60536,41.59854,-88.55206,17093
60537,41.56048,-88.60410,17099
60538,41.72750,-88.33694,17093
60539,41.82463,-88.33620,17089
60540,41.76458,-88.14417,17043
60541,41.51334,-88.53240,17093
60542,41.80870,-88.34841,17089
60543,41.66827,-88.32291,17093
60544,41.61391,-88.21868,17197
60545,41.68035,-88.53631,17093
60546,41.83792,-87.82186,17031
60548,41.64867,-88.63469,17037
60549,41.50254,-88.73964,17099
60550,41.78220,-88.88139,17037
60551,41.52532,-88.68766,17099
60552,41.66689,-88.70651,17037
60553,41.82625,-89.04006,17103
60554,41.77667,-88.45705,17089
60555,41.82329,-88.18863,17043
60556,41.76291,-88.77112,17037
60557,41.44584,-88.76799,17099
60558,41.80207,-87.90075,17031
60559,41.79437,-87.97286,17043
60560,41.60760,-88.43171,17093
60561,41.74566,-87.98149,17043
60563,41.79006,-88.20559,17043
60564,41.70623,-88.19510,17197
60565,41.72886,-88.12567,17043
60585,41.65706,-88.22524,17197
60586,41.57819,-88.23449,17197
60601,41.88515,-87.62151,17031
60602,41.88304,-87.62908,17031
60603,41.88026,-87.62740,17031
60604,41.87811,-87.62907,17031
60605,41.86757,-87.61723,17031
60606,41.88126,-87.63745,17031
60607,41.87481,-87.65454,17031
60608,41.84688,-87.67066,17031
60609,41.81268,-87.65694,17031
60610,41.90472,-87.63589,17031
60611,41.89474,-87.61507,17031
60612,41.88051,-87.68787,17031
60613,41.95615,-87.65299,17031
60614,41.92275,-87.64715,17031
60615,41.80326,-87.59793,17031
60616,41.84488,-87.62403,17031
60617,41.71442,-87.55576,17031
60618,41.94757,-87.70265,17031
60619,41.74344,-87.60532,17031
60620,41.74050,-87.65256,17031
60621,41.77623,-87.63953,17031
60622,41.90217,-87.68334,17031
60623,41.84710,-87.71761,17031
60624,41.88050,-87.72444,17031
60625,41.97308,-87.69975,17031
60626,42.00880,-87.66705,17031
60628,41.69148,-87.61859,17031
60629,41.77541,-87.71149,17031
60630,41.97207,-87.75657,17031
60631,41.99477,-87.81310,17031
60632,41.81017,-87.71325,17031
60633,41.66378,-87.56131,17031
60634,41.94619,-87.80612,17031
60636,41.77579,-87.66907,17031
60637,41.78250,-87.60273,17031
60638,41.78247,-87.77075,17031
60639,41.92060,-87.75594,17031
60640,41.97287,-87.66260,17031
60641,41.94672,-87.74689,17031
60642,41.90204,-87.65854,17031
60643,41.70027,-87.66327,17031
60644,41.88008,-87.75637,17031
60645,42.00860,-87.69458,17031
60646,41.99365,-87.76132,17031
60647,41.92104,-87.70197,17031
60649,41.75934,-87.55702,17031
60651,41.90201,-87.74102,17031
60652,41.74743,-87.71440,17031
60653,41.81997,-87.60596,17031
60654,41.89216,-87.63632,17031
60655,41.69477,-87.70376,17031
60656,41.97426,-87.82705,17031
60657,41.93941,-87.65070,17031
60659,41.98958,-87.70657,17031
60660,41.99111,-87.66308,17031
60661,41.88300,-87.64411,17031
60706,41.96388,-87.81679,17031
60707,41.92175,-87.80744,17031
60712,42.00543,-87.73296,17031
60714,42.02835,-87.81130,17031
60803,41.67406,-87.73622,17031
60804,41.84016,-87.75992,17031
60805,41.72200,-87.70245,17031
60827,41.64943,-87.63357,17031
60901,41.10944,-87.90282,17091
60910,41.06640,-87.79958,17091
60911,40.88024,-87.97658,17075
60912,40.97362,-87.60348,17075
60913,41.14835,-88.06204,17091
60914,41.18296,-87.86117,17091
60915,41.14633,-87.86071,17091
60917,41.04706,-88.19739,17091
60918,40.59497,-88.02566,17075
60919,40.98788,-88.23752,17053
60920,41.03021,-88.30379,17105
60921,40.73154,-88.29721,17105
60922,41.01093,-87.91929,17091
60924,40.56066,-87.88562,17075
60926,40.56939,-87.81208,17075
60927,40.93849,-87.97278,17075
60928,40.74569,-87.85077,17075
60929,40.87601,-88.29241,17105
60930,40.83174,-88.00627,17075
60931,40.88933,-87.58814,17075
60932,40.46510,-87.80012,17183
60933,40.46258,-88.27380,17053
60934,40.95709,-88.34510,17105
60935,41.17046,-88.17588,17091
60936,40.46469,-88.36306,17053
60938,40.77226,-87.98439,17075
60939,40.56700,-87.77709,17075
60940,41.24978,-87.64286,17091
60941,41.03866,-88.08587,17091
60942,40.46657,-87.66160,17183
60945,40.83512,-87.59670,17075
60946,40.91307,-88.20071,17053
60948,40.52356,-88.07735,17075
60949,40.37834,-88.10515,17019
60950,41.25285,-87.88359,17091
60951,40.91905,-87.74075,17075
60952,40.56280,-88.25037,17053
60953,40.62900,-87.69020,17075
60954,41.14771,-87.62252,17091
60955,40.70846,-87.98295,17075
60956,40.96769,-87.71625,17075
60957,40.44296,-88.13620,17053
60958,41.06520,-87.59160,17091
60959,40.78948,-88.18318,17053
60960,40.43896,-87.89072,17183
60961,41.10957,-88.22150,17091
60962,40.62614,-88.18714,17053
60963,40.36850,-87.65107,17183
60964,41.02782,-87.74226,17091
60966,40.75141,-87.58324,17075
60967,40.62409,-87.58133,17075
60968,40.67546,-88.11973,17075
60969,41.11097,-88.14971,17091
60970,40.79392,-87.74134,17075
60973,40.53654,-87.66263,17075
60974,40.71798,-87.73590,17075
61001,42.46582,-90.11023,17085
61006,41.86176,-89.20228,17103
61007,42.19942,-89.59107,17141
61008,42.24593,-88.83986,17007
61010,42.13455,-89.27265,17141
61011,42.39226,-88.89712,17007
61012,42.40145,-88.76456,17007
61013,42.37540,-89.63637,17177
